PKI	PK	PMID	ACT_VALUE (uM)	ACT_TYPE	MoA
nintedanib	KDR	24782550			
nintedanib	PDGFRA	24782550			
nintedanib	PDGFRB	24782550			
olaratumab	PDGFRA	27291997			
olmutinib	EGFR	27357069	0.009200004346621	IC50	INHIBITOR
osimertinib	EGFR	26729184	0.014999997758335	IC50	INHIBITOR
palbociclib	CDK4	24891344	0.011000002989615	IC50	INHIBITOR
palbociclib	CDK6	24891344	0.014999997758335	IC50	INHIBITOR
panitumumab	EGFR	16796785	5.01187233627272E-05	Kd	AGONIST
pazopanib	CSF1R	31527881	0.007943282347243	Kd	INHIBITOR
pazopanib	FGFR1	29223982	1	Kd	INHIBITOR
pazopanib	FGFR2	23786770	0.208929613085404	Kd	
pazopanib	FGFR3	23786770	0.616595001861482	Kd	INHIBITOR
pazopanib	FLT1	17288876			
pazopanib	FLT4	17288876			
pazopanib	ITK	30460241			INHIBITOR
pazopanib	KDR	17288876			
pazopanib	KIT	17288876	0.00181970085861	Kd	INHIBITOR
pazopanib	LCK	30460241	1.20226443461741	Kd	INHIBITOR
pazopanib	PDGFRA	17288876			
pazopanib	PDGFRB	17288876			
pemigatinib	FGFR1	32472305	0.000398107170553	IC50	INHIBITOR
pemigatinib	FGFR2	32472305	0.000501187233627	IC50	INHIBITOR
pemigatinib	FGFR3	32472305	0.001	IC50	INHIBITOR
pertuzumab	ERBB2	15093533			ANTIBODY BINDING
pexidartinib	CSF1R	31602563	0.013182567385564	IC50	INHIBITOR
pexidartinib	FLT3	31602563	0.162181009735893	IC50	INHIBITOR
pexidartinib	KIT	31602563	0.027542287033382	IC50	INHIBITOR
ponatinib	ABL1	19878872	0.000370000251047	IC50	INHIBITOR
ponatinib	SRC	33531202	0.003019948537254	IC50	
quizartinib	CSF1R	19654408			
quizartinib	FLT3	24070241	0.001599558028615	Kd	INHIBITOR
quizartinib	KIT	19654408			
quizartinib	PDGFRA	19654408			
quizartinib	PDGFRB	19654408			
quizartinib	RET	19654408			
radotinib	ABL1	25552681	0.030600011389941	IC50	INHIBITOR
ramucirumab	KDR	25377507			
regorafenib	BRAF	22577890	0.028183829312645	IC50	INHIBITOR
regorafenib	FGFR1	22577890			
regorafenib	FLT1	22577890			
regorafenib	FLT4	22577890			
regorafenib	KDR	22577890			
regorafenib	KIT	22577890			
regorafenib	MAPK14	22577890			
regorafenib	PDGFRB	22577890			
regorafenib	RAF1	22577890			
regorafenib	RET	22577890			
regorafenib	TEK	22577890			
ribociclib	CDK4	24045179	0.01	IC50	INHIBITOR
ribociclib	CDK6	24045179	0.038999986179522	IC50	INHIBITOR
ripasudil	ROCK1	23787820	0.050999988243998	IC50	INHIBITOR
ripasudil	ROCK2	23787820	0.019000006847787	IC50	INHIBITOR
ruxolitinib	JAK1	20506062	8.91250938133744E-05	Ki	INHIBITOR
ruxolitinib	JAK2	20506062	3.63078054770102E-05	Kd	INHIBITOR
selumetinib	MAP2K1	32629964			
selumetinib	MAP2K2	32629964			
sirolimus	MTOR	33405944	0.0001	IC50	
sorafenib	BRAF	16988583	0.021877616239496	Ki	INHIBITOR
sorafenib	FGFR1	16988583	2.51188643150958	Kd	
sorafenib	FLT1	30194077			
sorafenib	FLT3	16988583	0.00446683592151	Kd	INHIBITOR
sorafenib	FLT4	16988583			
sorafenib	KDR	16988583			
sorafenib	KIT	16988583	0.015848931924611	Kd	INHIBITOR
sorafenib	PDGFRB	16988583			
sorafenib	RAF1	32841541	0.006025595860744	Ki	INHIBITOR
sorafenib	RET	33525725	0.007413102413009	Kd	INHIBITOR
sunitinib	CSF1R	27798861	0.001995262314969	Kd	INHIBITOR
sunitinib	FLT1	27798861;30194077			
sunitinib	FLT3	15648955	0.000218776162395	Kd	INHIBITOR
sunitinib	FLT4	27798861;30194077			
sunitinib	KDR	27798861;15648955			
sunitinib	KIT	15648955	0.000208929613085	Kd	INHIBITOR
sunitinib	PDGFRA	27798861			
sunitinib	PDGFRB	15648955			
sunitinib	RET	27798861	0.001584893192461	IC50	INHIBITOR
temsirolimus	MTOR	12912932	1.77827941003892	IC50	
teprotumumab	IGF1R	22022506	0.001	IC50	ANTAGONIST
tivozanib	FLT1	20799147			
tivozanib	FLT4	20799147			
tivozanib	KDR	20799147			
tofacitinib	JAK1	33613945	0.000676082975392	Ki	
tofacitinib	JAK2	33207299	0.000575439937337	Kd	
tofacitinib	JAK3	18234077	0.003299998021545	IC50	
tofacitinib	TYK2	33207299	0.004365158322402	Ki	
trametinib	MAP2K1	22663011			
trametinib	MAP2K2	22663011			
trastuzumab	ERBB2	9661897			ANTIBODY BINDING
tucatinib	ERBB2	29955792			
upadacitinib	JAK1	27272171	0.04677351412872	IC50	INHIBITOR
vandetanib	EGFR	12499271	0.004786300923226	Kd	INHIBITOR
vandetanib	KDR	12499271			
vandetanib	RET	32800552;12499271	0.014125375446228	Kd	INHIBITOR
vemurafenib	BRAF	20973932	0.02089296130854	IC50	INHIBITOR
zanubrutinib	BTK	31381333	0.00030199517204	IC50	INHIBITOR
acalabrutinib	BMX	n/a	0.046000017828108	IC50	
acalabrutinib	ERBB4	n/a	0.016000000638979	IC50	
acalabrutinib	LYN	n/a	1	EC50	
acalabrutinib	TEC	n/a	0.093000011016682	IC50	
acalabrutinib	TXK	n/a	0.368000153647265	IC50	
afatinib	ABL1	n/a	0.229086765276777	Kd	
afatinib	BLK	n/a	0.218776162394955	Kd	
afatinib	CTRO	n/a	2.88403150312661	Kd	
afatinib	DYR1A	n/a	0.977237220955811	Kd	
afatinib	DYR1B	n/a	2.81838293126445	Kd	
afatinib	DYRK2	n/a	1.81970085860998	Kd	
afatinib	EPHA6	n/a	0.338844156139203	Kd	
afatinib	EPHB6	n/a	3.09029543251359	Kd	
afatinib	ERBB3	n/a	4.46683592150963	Kd	
afatinib	FLT3	n/a	1.41253754462276	Kd	
afatinib	FRK	n/a	1.41253754462276	Kd	
afatinib	GAK	n/a	0.079432823472428	Kd	
afatinib	HCK	n/a	2.18776162394955	Kd	
afatinib	HIPK4	n/a	0.363078054770101	Kd	
afatinib	IRAK1	n/a	0.239883291901949	Kd	
afatinib	KC1E	n/a	1.28824955169314	Kd	
afatinib	KS6A6	n/a	3.09029543251359	Kd	
afatinib	LCK	n/a	0.575439937337157	Kd	
afatinib	MET	n/a	2.18776162394955	Kd	
afatinib	MK09	n/a	2.08929613085404	Kd	
afatinib	MK10	n/a	1.99526231496888	Kd	
afatinib	MK14	n/a	1.28824955169314	Kd	
afatinib	MKNK1	n/a	1.81970085860998	Kd	
afatinib	MKNK2	n/a	1.58489319246111	Kd	
afatinib	MP2K5	n/a	1.28824955169314	Kd	
afatinib	PHKG1	n/a	1.28824955169314	Kd	
afatinib	PHKG2	n/a	0.467735141287198	Kd	
afatinib	RIPK2	n/a	2.69153480392691	Kd	
afatinib	SBK1	n/a	4.78630092322638	Kd	
afatinib	SLK	n/a	3.71535229097173	Kd	
afatinib	SRC	n/a	2.81838293126445	Kd	
afatinib	ST17A	n/a	2.29086765276777	Kd	
afatinib	STK10	n/a	4.26579518801593	Kd	
afatinib	TXK	n/a	3.09029543251359	Kd	
afatinib	UFO	n/a	5.24807460249772	Kd	
alectinib	VGFR2	n/a	1.41253754462276	IC50	
alpelisib	PK3CA	n/a	0.004600446663935	IC50	
amlexanox	IKKE	n/a	1	IC50	
apatinib	CSK	n/a	0.524807460249772	IC50	
apatinib	RET	n/a	0.013000006720273	IC50	
apatinib	SRC	n/a	0.530000239467942	IC50	
apatinib	VGFR2	n/a	0.001	IC50	
avapritinib	PGFRA	n/a	0.000239883291902	IC50	
axitinib	AAK1	n/a	1.20226443461741	Kd	
axitinib	ABL1	n/a	0.001513561248436	Kd	
axitinib	ABL2	n/a	0.070794578438414	Kd	
axitinib	ACK1	n/a	6.02559586074358	Kd	
axitinib	ANKK1	n/a	3.63078054770101	Kd	
axitinib	AURKA	n/a	0.072443596007499	Kd	
axitinib	AURKB	n/a	0.010964781961432	Kd	
axitinib	AURKC	n/a	0.001288249551693	Kd	
axitinib	AVR2B	n/a	5.24807460249772	Kd	
axitinib	BLK	n/a	3.09029543251359	Kd	
axitinib	BMP2K	n/a	1	Kd	
axitinib	BMR1B	n/a	2.88403150312661	Kd	
axitinib	CDK16	n/a	5.24807460249772	Kd	
axitinib	CDKL2	n/a	0.524807460249772	Kd	
axitinib	CSF1R	n/a	0.02089296130854	Kd	
axitinib	CSK	n/a	1.09647819614319	Kd	
axitinib	CSK22	n/a	2.81838293126445	Kd	
axitinib	DDR1	n/a	0.338844156139203	Kd	
axitinib	DDR2	n/a	5.24807460249772	Kd	
axitinib	E2AK2	n/a	7.41310241300918	Kd	
axitinib	EGFR	n/a	2.29086765276777	Kd	
axitinib	EPHB6	n/a	0.363078054770101	Kd	
axitinib	FGFR1	n/a	0.380189396320561	Kd	
axitinib	FGFR2	n/a	0.109647819614318	Kd	
axitinib	FGFR3	n/a	0.208929613085404	Kd	
axitinib	FGR	n/a	1.81970085860998	Kd	
axitinib	FLT3	n/a	0.030902954325136	Kd	
axitinib	GAK	n/a	2.69153480392691	Kd	
axitinib	GRK4	n/a	2.29086765276777	Kd	
axitinib	HUNK	n/a	1.51356124843621	Kd	
axitinib	IRAK1	n/a	3.09029543251359	Kd	
axitinib	ITK	n/a	1.20226443461741	Kd	
axitinib	JAK2	n/a	3.31131121482591	Kd	
axitinib	JAK3	n/a	3.09029543251359	Kd	
axitinib	KIT	n/a	0.000489778819368	Kd	
axitinib	KKCC1	n/a	1.41253754462276	Kd	
axitinib	KKCC2	n/a	1.51356124843621	Kd	
axitinib	LCK	n/a	2.69153480392691	Kd	
axitinib	LRRK2	n/a	0.91201083935591	Kd	
axitinib	M3K12	n/a	1.69824365246175	Kd	
axitinib	M3K19	n/a	0.269153480392691	Kd	
axitinib	M3K3	n/a	2.81838293126445	Kd	
axitinib	M3K4	n/a	5.62341325190349	Kd	
axitinib	M3K9	n/a	3.01995172040202	Kd	
axitinib	M4K1	n/a	0.331131121482591	Kd	
axitinib	M4K2	n/a	1.28824955169314	Kd	
axitinib	M4K3	n/a	1.20226443461741	Kd	
axitinib	M4K4	n/a	0.346736850452532	Kd	
axitinib	M4K5	n/a	0.549540873857625	Kd	
axitinib	MERTK	n/a	3.23593656929628	Kd	
axitinib	MET	n/a	0.8128305161641	Kd	
axitinib	MINK1	n/a	0.562341325190349	Kd	
axitinib	MK08	n/a	3.89045144994281	Kd	
axitinib	MK10	n/a	1.09647819614319	Kd	
axitinib	MLTK	n/a	2.57039578276887	Kd	
axitinib	MP2K1	n/a	2.69153480392691	Kd	
axitinib	MP2K2	n/a	2.57039578276887	Kd	
axitinib	MP2K5	n/a	0.141253754462276	Kd	
axitinib	MRCKB	n/a	4.78630092322638	Kd	
axitinib	MYLK2	n/a	1.28824955169314	Kd	
axitinib	MYLK3	n/a	1.69824365246175	Kd	
axitinib	MYO3A	n/a	1.90546071796325	Kd	
axitinib	NTRK1	n/a	1.81970085860998	Kd	
axitinib	NUAK2	n/a	1.28824955169314	Kd	
axitinib	PAK4	n/a	4.46683592150963	Kd	
axitinib	PGFRA	n/a	0.000512861383991	Kd	
axitinib	PGFRB	n/a	0.000575439937337	Kd	
axitinib	PKN2	n/a	2.69153480392691	Kd	
axitinib	PLK4	n/a	0.004168693834703	Ki	
axitinib	RET	n/a	0.1	Kd	
axitinib	RIOK1	n/a	1.20226443461741	Kd	
axitinib	RIOK3	n/a	1	Kd	
axitinib	RIPK1	n/a	2.51188643150958	Kd	
axitinib	RIPK2	n/a	10	Kd	
axitinib	RIPK4	n/a	1.41253754462276	Kd	
axitinib	ROS1	n/a	3.23593656929628	Kd	
axitinib	SIK1	n/a	2.08929613085404	Kd	
axitinib	SLK	n/a	1	Kd	
axitinib	SRPK1	n/a	1.81970085860998	Kd	
axitinib	SRPK3	n/a	2.29086765276777	Kd	
axitinib	STK10	n/a	1.20226443461741	Kd	
axitinib	STK16	n/a	0.371535229097173	Kd	
axitinib	STK3	n/a	2.18776162394955	Kd	
axitinib	STK4	n/a	1.41253754462276	Kd	
axitinib	TESK1	n/a	4.26579518801593	Kd	
axitinib	TIE1	n/a	0.097723722095581	Kd	
axitinib	TIE2	n/a	0.309029543251359	Kd	
axitinib	TNIK	n/a	0.181970085860998	Kd	
axitinib	TNK1	n/a	0.158489319246111	Kd	
axitinib	TTK	n/a	3.89045144994281	Kd	
axitinib	TXK	n/a	2.39883291901949	Kd	
axitinib	TYK2	n/a	3.63078054770101	Kd	
axitinib	UFO	n/a	0.416869383470335	Kd	
axitinib	ULK2	n/a	10	Kd	
axitinib	ULK3	n/a	0.676082975391982	Kd	
axitinib	VGFR1	n/a	0.005754399373372	Kd	
axitinib	VGFR2	n/a	0.005888436553556	Kd	
axitinib	VGFR3	n/a	0.169824365246175	Kd	
axitinib	YES	n/a	2.69153480392691	Kd	
baricitinib	JAK3	n/a	0.794328234724282	IC50	
baricitinib	TYK2	n/a	0.053000023946794	IC50	
benzbromarone	MK01	n/a	1.9460000003032	IC50	
benzbromarone	MK14	n/a	1.23500000114975	IC50	
binimetinib	MP2K1	n/a	0.012589254117942	IC50	
binimetinib	MP2K2	n/a	0.012589254117942	IC50	
bosutinib	AAK1	n/a	2.29086765276777	Kd	
bosutinib	AAPK1	n/a	3.89045144994281	Kd	
bosutinib	ABL2	n/a	0.001513561248436	Kd	
bosutinib	ACK1	n/a	0.028840315031266	Kd	
bosutinib	ALK	n/a	0.691830970918936	Kd	
bosutinib	ANKK1	n/a	2.08929613085404	Kd	
bosutinib	BLK	n/a	0.003311311214826	Kd	
bosutinib	BMP2K	n/a	0.346736850452532	Kd	
bosutinib	BMPR2	n/a	0.575439937337157	Kd	
bosutinib	BMX	n/a	0.199526231496888	Kd	
bosutinib	BTK	n/a	0.004786300923226	Kd	
bosutinib	CDK14	n/a	1.41253754462276	Kd	
bosutinib	CDK15	n/a	1.58489319246111	Kd	
bosutinib	CDK16	n/a	2.39883291901949	Kd	
bosutinib	CDK7	n/a	1.20226443461741	Kd	
bosutinib	CHK1	n/a	3.01995172040202	Kd	
bosutinib	CHK2	n/a	0.120226443461741	Kd	
bosutinib	CLK1	n/a	0.602559586074358	Kd	
bosutinib	CLK2	n/a	1.69824365246175	Kd	
bosutinib	CLK3	n/a	0.301995172040202	Kd	
bosutinib	CLK4	n/a	3.23593656929628	Kd	
bosutinib	CSF1R	n/a	0.380189396320561	Kd	
bosutinib	CSK	n/a	0.032359365692963	Kd	
bosutinib	CSKP	n/a	0.831763771102671	Kd	
bosutinib	CTRO	n/a	2.39883291901949	Kd	
bosutinib	DCLK3	n/a	5.37031796370253	Kd	
bosutinib	DDR1	n/a	0.120226443461741	Kd	
bosutinib	DDR2	n/a	0.141253754462276	Kd	
bosutinib	DMPK	n/a	0.091201083935591	Kd	
bosutinib	DUSTY	n/a	0.380189396320561	Kd	
bosutinib	E2AK1	n/a	0.630957344480193	Kd	
bosutinib	E2AK4	n/a	0.269153480392691	Kd	
bosutinib	EGFR	n/a	0.0181970085861	Kd	
bosutinib	EPHA1	n/a	2.29086765276777	Kd	
bosutinib	EPHA2	n/a	0.0181970085861	Kd	
bosutinib	EPHA3	n/a	0.005754399373372	Kd	
bosutinib	EPHA4	n/a	0.0181970085861	Kd	
bosutinib	EPHA5	n/a	0.026915348039269	Kd	
bosutinib	EPHA6	n/a	1.09647819614319	Kd	
bosutinib	EPHA8	n/a	0.008912509381337	Kd	
bosutinib	EPHB1	n/a	0.033113112148259	Kd	
bosutinib	EPHB2	n/a	0.008317637711027	Kd	
bosutinib	EPHB3	n/a	0.208929613085404	Kd	
bosutinib	EPHB4	n/a	0.009120108393559	Kd	
bosutinib	EPHB6	n/a	3.01995172040202	Kd	
bosutinib	ERBB2	n/a	2.51188643150958	Kd	
bosutinib	ERBB3	n/a	0.000776247116629	Kd	
bosutinib	ERBB4	n/a	0.025703957827689	Kd	
bosutinib	FAK1	n/a	0.575439937337157	Kd	
bosutinib	FAK2	n/a	0.38904514499428	Kd	
bosutinib	FER	n/a	0.363078054770101	Kd	
bosutinib	FES	n/a	0.331131121482591	Kd	
bosutinib	FGR	n/a	0.006309573444802	Kd	
bosutinib	FLT3	n/a	1	Kd	
bosutinib	FRK	n/a	0.001412537544623	Kd	
bosutinib	FYN	n/a	0.010964781961432	Kd	
bosutinib	GAK	n/a	0.001288249551693	Kd	
bosutinib	GRK4	n/a	4.89778819368447	Kd	
bosutinib	GRK7	n/a	1.69824365246175	Kd	
bosutinib	HIPK1	n/a	0.524807460249772	Kd	
bosutinib	HIPK2	n/a	1.90546071796325	Kd	
bosutinib	HIPK3	n/a	3.23593656929628	Kd	
bosutinib	HIPK4	n/a	0.128824955169314	Kd	
bosutinib	HUNK	n/a	5.01187233627272	Kd	
bosutinib	IKKE	n/a	0.052480746024977	Kd	
bosutinib	IRAK1	n/a	0.602559586074358	Kd	
bosutinib	IRAK4	n/a	0.363078054770101	Kd	
bosutinib	ITK	n/a	1.69824365246175	Kd	
bosutinib	JAK2	n/a	1.09647819614319	Kd	
bosutinib	JAK3	n/a	1.20226443461741	Kd	
bosutinib	KC1A	n/a	0.281838293126445	Kd	
bosutinib	KC1AL	n/a	2.57039578276887	Kd	
bosutinib	KC1D	n/a	0.239883291901949	Kd	
bosutinib	KC1E	n/a	0.109647819614318	Kd	
bosutinib	KCC1D	n/a	0.549540873857625	Kd	
bosutinib	KCC2A	n/a	4.46683592150963	Kd	
bosutinib	KCC2G	n/a	3.63078054770101	Kd	
bosutinib	KIT	n/a	0.072443596007499	Kd	
bosutinib	KKCC2	n/a	0.776247116628691	Kd	
bosutinib	KPCD	n/a	1.58489319246111	Kd	
bosutinib	KPCD3	n/a	4.57088189614875	Kd	
bosutinib	KPCE	n/a	2.39883291901949	Kd	
bosutinib	KPCT	n/a	0.91201083935591	Kd	
bosutinib	KS6A2	n/a	3.23593656929628	Kd	
bosutinib	KS6A3	n/a	1.20226443461741	Kd	
bosutinib	KS6A6	n/a	2.69153480392691	Kd	
bosutinib	KS6B1	n/a	0.660693448007596	Kd	
bosutinib	KSYK	n/a	0.288403150312661	Kd	
bosutinib	LCK	n/a	0.000588843655356	Kd	
bosutinib	LRRK2	n/a	0.501187233627272	Kd	
bosutinib	LTK	n/a	3.01995172040202	Kd	
bosutinib	M3K1	n/a	4.36515832240166	Kd	
bosutinib	M3K11	n/a	2.69153480392691	Kd	
bosutinib	M3K12	n/a	0.676082975391982	Kd	
bosutinib	M3K13	n/a	0.478630092322638	Kd	
bosutinib	M3K19	n/a	0.015848931924611	Kd	
bosutinib	M3K2	n/a	0.03019951720402	Kd	
bosutinib	M3K3	n/a	0.053703179637025	Kd	
bosutinib	M3K4	n/a	0.109647819614318	Kd	
bosutinib	M3K7	n/a	0.1	Kd	
bosutinib	M3K9	n/a	2.69153480392691	Kd	
bosutinib	M4K1	n/a	0.015135612484362	Kd	
bosutinib	M4K2	n/a	0.003090295432514	Kd	
bosutinib	M4K3	n/a	0.005128613839914	Kd	
bosutinib	M4K4	n/a	0.008128305161641	Kd	
bosutinib	M4K5	n/a	0.000501187233627	Kd	
bosutinib	MAST1	n/a	0.346736850452532	Kd	
bosutinib	MATK	n/a	5.75439937337157	Kd	
bosutinib	MERTK	n/a	0.109647819614318	Kd	
bosutinib	MET	n/a	2.18776162394955	Kd	
bosutinib	MINK1	n/a	0.003235936569296	Kd	
bosutinib	MK07	n/a	2.29086765276777	Kd	
bosutinib	MLTK	n/a	0.079432823472428	Kd	
bosutinib	MP2K1	n/a	0.019054607179633	Kd	
bosutinib	MP2K2	n/a	0.01	Kd	
bosutinib	MP2K3	n/a	2.57039578276887	Kd	
bosutinib	MP2K4	n/a	2.57039578276887	Kd	
bosutinib	MP2K5	n/a	0.008128305161641	Kd	
bosutinib	MP2K6	n/a	1.28824955169314	Kd	
bosutinib	MP2K7	n/a	5.24807460249772	Kd	
bosutinib	MYLK	n/a	0.489778819368447	Kd	
bosutinib	MYO3A	n/a	6.16595001861482	Kd	
bosutinib	MYO3B	n/a	2.29086765276777	Kd	
bosutinib	NEK11	n/a	0.645654229034655	Kd	
bosutinib	NEK2	n/a	1.58489319246111	Kd	
bosutinib	NIM1	n/a	1.51356124843621	Kd	
bosutinib	NLK	n/a	2.18776162394955	Kd	
bosutinib	NTRK1	n/a	3.09029543251359	Kd	
bosutinib	NTRK2	n/a	1.20226443461741	Kd	
bosutinib	NTRK3	n/a	3.38844156139203	Kd	
bosutinib	NUAK1	n/a	5.88843655355588	Kd	
