Sym	Name	UniProt	Description	GeneID	STRING ID	TDL	DTO_Lvl3	DTO_Lvl4	DTO_Lvl5	DTO_Lvl6	mouse_symbol	support	support_count	confidence	Subcell_Location
ADCK1	ADCK1_HUMAN	Q86TW2	Uncharacterized aarF domain-containing protein kinase 1	57143	ENSP00000238561	Tdark	protein kinase	Atypical group	ABC1 family	ABC1-B subfamily	Adck1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm
ADCK2	ADCK2_HUMAN	Q7Z695	Uncharacterized aarF domain-containing protein kinase 2	90956	ENSP00000072869	Tbio	protein kinase	Atypical group	ABC1 family	ABC1-C subfamily	Adck2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Centrosome| Cytosol
ADCK5	ADCK5_HUMAN	Q3MIX3	Uncharacterized aarF domain-containing protein kinase 5	203054	ENSP00000310547	Tdark	protein kinase	Atypical group	ABC1 family	ABC1-B subfamily	Adck5	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Cytosol| Plasma membrane
AKT1	AKT1_HUMAN	P31749	RAC-alpha serine/threonine-protein kinase	207	ENSP00000451828	Tchem	protein kinase	AGC group	AKT family		Akt1	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Nucleus| Microtubules
AKT2	AKT2_HUMAN	P31751	RAC-beta serine/threonine-protein kinase	208	ENSP00000375892	Tchem	protein kinase	AGC group	AKT family		Akt2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus| Vesicles| Cytosol
AKT3	AKT3_HUMAN	Q9Y243	RAC-gamma serine/threonine-protein kinase	10000	ENSP00000263826	Tchem	protein kinase	AGC group	AKT family		Akt3	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol
ALK	ALK_HUMAN	Q9UM73	ALK tyrosine kinase receptor	238	ENSP00000373700	Tclin	protein kinase	TK group	ALK family		Alk	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
ALPK1	ALPK1_HUMAN	Q96QP1	Alpha-protein kinase 1	80216	ENSP00000398048	Tbio	protein kinase	Atypical group	Alpha family		Alpk1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Centrosome
ALPK2	ALPK2_HUMAN	Q86TB3	Alpha-protein kinase 2	115701	ENSP00000354991	Tbio	protein kinase	Atypical group	Alpha family		Alpk2	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol
ALPK3	ALPK3_HUMAN	Q96L96	Alpha-protein kinase 3	57538	ENSP00000258888	Tdark	protein kinase	Atypical group	Alpha family		Alpk3	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleus
AMHR2	AMHR2_HUMAN	Q16671	Anti-Muellerian hormone type-2 receptor	269	ENSP00000257863	Tbio	protein kinase	TKL group	STKR family	STKR Type 2 subfamily	Amhr2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Vesicles
ANKK1	ANKK1_HUMAN	Q8NFD2	Ankyrin repeat and protein kinase domain-containing protein 1	255239	ENSP00000306678	Tchem	protein kinase	TKL group	RIPK family		Ankk1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol
ARAF	ARAF_HUMAN	P10398	Serine/threonine-protein kinase A-Raf	369	ENSP00000290277	Tchem	protein kinase	TKL group	RAF family		Araf	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoli (Fibrillar center)| Nucleus
ATM	ATM_HUMAN	Q13315	Serine-protein kinase ATM	472	ENSP00000278616	Tchem	protein kinase	Atypical group	PIKK family		Atm	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm
ATR	ATR_HUMAN	Q13535	Serine/threonine-protein kinase ATR	545	ENSP00000343741	Tchem	protein kinase	Atypical group	PIKK family	ATR subfamily	Atr	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Golgi apparatus
AURKA	AURKA_HUMAN	O14965	Aurora kinase A	6790	ENSP00000216911	Tchem	protein kinase	other group	AUR family		Aurka	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Nucleus| Centrosome| Cytosol
AURKB	AURKB_HUMAN	Q96GD4	Aurora kinase B	9212	ENSP00000313950	Tchem	protein kinase	other group	AUR family		Aurkb	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Midbody
AURKC	AURKC_HUMAN	Q9UQB9	Aurora kinase C	6795	ENSP00000302898	Tchem	protein kinase	other group	AUR family		Aurkc	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,OMA,Panther,OrthoDB	8	moderate	Centrosome| Cytoskeleton| Microtubule organizing center| Microtubules| Midbody| Nucleoplasm| Nucleus
AXL	UFO_HUMAN	P30530	Tyrosine-protein kinase receptor UFO	558	ENSP00000301178	Tchem	protein kinase	TK group	AXL family		Axl	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Intermediate filaments
BCKDK	BCKD_HUMAN	O14874	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	10295	ENSP00000378405	Tbio	protein kinase	Atypical group	PDHK family		Bckdk	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Mitochondria
BLK	BLK_HUMAN	P51451	Tyrosine-protein kinase Blk	640	ENSP00000259089	Tchem	protein kinase	TK group	SRC family		Blk	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Plasma membrane
BMP2K	BMP2K_HUMAN	Q9NSY1	BMP-2-inducible protein kinase	55589	ENSP00000334836	Tchem	protein kinase	other group	NAK family		Bmp2k	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,NCBI,OMA,Panther,OrthoDB	10	good	Nuclear speckles
BMPR1A	BMR1A_HUMAN	P36894	Bone morphogenetic protein receptor type-1A	657	ENSP00000361107	Tchem	protein kinase	TKL group	STKR family	STKR Type 1 subfamily	Bmpr1a	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,NCBI,OMA,Panther,OrthoDB	9	good	Cytosol| Plasma membrane
BMPR1B	BMR1B_HUMAN	O00238	Bone morphogenetic protein receptor type-1B	658	ENSP00000401907	Tchem	protein kinase	TKL group	STKR family	STKR Type 1 subfamily	Bmpr1b	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Plasma membrane
BMPR2	BMPR2_HUMAN	Q13873	Bone morphogenetic protein receptor type-2	659	ENSP00000363708	Tchem	protein kinase	TKL group	STKR family	STKR Type 2 subfamily	Bmpr2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Plasma membrane
BMX	BMX_HUMAN	P51813	Cytoplasmic tyrosine-protein kinase BMX	660	ENSP00000350224	Tchem	protein kinase	TK group	TEC family		Bmx	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther	11	good	Plasma membrane| Nucleoplasm
BRAF	BRAF_HUMAN	P15056	Serine/threonine-protein kinase B-raf	673	ENSP00000288602	Tclin	protein kinase	TKL group	RAF family		Braf	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Vesicles| Cytosol
BRSK1	BRSK1_HUMAN	Q8TDC3	Serine/threonine-protein kinase BRSK1	84446	ENSP00000310649	Tchem	protein kinase	CAMK group	CAMKL family	BRSK subfamily	Brsk1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	10	good	Nucleoplasm
BRSK2	BRSK2_HUMAN	Q8IWQ3	Serine/threonine-protein kinase BRSK2	9024	ENSP00000371614	Tchem	protein kinase	CAMK group	CAMKL family	BRSK subfamily	Brsk2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Golgi apparatus
BTK	BTK_HUMAN	Q06187	Tyrosine-protein kinase BTK	695	ENSP00000483570	Tclin	protein kinase	TK group	TEC family		Btk	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	11	good	Vesicles
BUB1	BUB1_HUMAN	O43683	Mitotic checkpoint serine/threonine-protein kinase BUB1	699	ENSP00000302530	Tchem	protein kinase	other group	BUB family		Bub1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Cytosol
BUB1B	BUB1B_HUMAN	O60566	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta	701	ENSP00000287598	Tbio	protein kinase	other group	BUB family		Bub1b	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol
CAMK1	KCC1A_HUMAN	Q14012	Calcium/calmodulin-dependent protein kinase type 1	8536	ENSP00000256460	Tchem	protein kinase	CAMK group	CAMK1 family		Camk1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol
CAMK1D	KCC1D_HUMAN	Q8IU85	Calcium/calmodulin-dependent protein kinase type 1D	57118	ENSP00000478874	Tchem	protein kinase	CAMK group	CAMK1 family		Camk1d	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,NCBI,OMA,Panther,OrthoDB	9	good	Nucleus| Cytosol
CAMK1G	KCC1G_HUMAN	Q96NX5	Calcium/calmodulin-dependent protein kinase type 1G	57172	ENSP00000009105	Tchem	protein kinase	CAMK group	CAMK1 family		Camk1g	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Golgi apparatus| Golgi membrane| Plasma membrane
CAMK2A	KCC2A_HUMAN	Q9UQM7	Calcium/calmodulin-dependent protein kinase type II subunit alpha	815	ENSP00000381412	Tchem	protein kinase	CAMK group	CAMK2 family		Camk2a	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cell Junctions| Plasma membrane
CAMK2B	KCC2B_HUMAN	Q13554	Calcium/calmodulin-dependent protein kinase type II subunit beta	816	ENSP00000379098	Tchem	protein kinase	CAMK group	CAMK2 family		Camk2b	HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	9	good	Cell Junctions| Plasma membrane
CAMK2D	KCC2D_HUMAN	Q13557	Calcium/calmodulin-dependent protein kinase type II subunit delta	817	ENSP00000339740	Tchem	protein kinase	CAMK group	CAMK2 family		Camk2d	Inparanoid,HomoloGene,HGNC,PhylomeDB,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Cell Junctions| Plasma membrane
CAMK2G	KCC2G_HUMAN	Q13555	Calcium/calmodulin-dependent protein kinase type II subunit gamma	818	ENSP00000319060	Tchem	protein kinase	CAMK group	CAMK2 family		Camk2g	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cell Junctions| Plasma membrane| Cytosol
CAMK4	KCC4_HUMAN	Q16566	Calcium/calmodulin-dependent protein kinase type IV	814	ENSP00000282356	Tchem	protein kinase	CAMK group	CAMK1 family		Camk4	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Nucleoli (Fibrillar center)
CAMKK1	KKCC1_HUMAN	Q8N5S9	Calcium/calmodulin-dependent protein kinase kinase 1	84254	ENSP00000158166	Tchem	protein kinase	other group	CAMKK family	Meta subfamily	Camkk1	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol
CAMKK2	KKCC2_HUMAN	Q96RR4	Calcium/calmodulin-dependent protein kinase kinase 2	10645	ENSP00000312741	Tchem	protein kinase	other group	CAMKK family	Meta subfamily	Camkk2	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol
CAMKV	CAMKV_HUMAN	Q8NCB2	CaM kinase-like vesicle-associated protein	79012	ENSP00000419195	Tbio	protein kinase	CAMK group	CAMK-UNIQUE family		Camkv	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Cytokinetic bridge
CASK	CSKP_HUMAN	O14936	Peripheral plasma membrane protein CASK	8573	ENSP00000367408	Tchem	protein kinase	CAMK group	CASK family		Cask	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	10	good	Plasma membrane
CDC42BPA	MRCKA_HUMAN	Q5VT25	Serine/threonine-protein kinase MRCK alpha	8476	ENSP00000355731	Tchem	protein kinase	AGC group	DMPK family	GEK subfamily	Cdc42bpa	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Intermediate filaments
CDC42BPB	MRCKB_HUMAN	Q9Y5S2	Serine/threonine-protein kinase MRCK beta	9578	ENSP00000355237	Tbio	protein kinase	AGC group	DMPK family	GEK subfamily	Cdc42bpb	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nuclear speckles| Cytosol
CDC42BPG	MRCKG_HUMAN	Q6DT37	Serine/threonine-protein kinase MRCK gamma	55561	ENSP00000345133	Tbio	protein kinase	AGC group	DMPK family	GEK subfamily	Cdc42bpg	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol
CDC7	CDC7_HUMAN	O00311	Cell division cycle 7-related protein kinase	8317	ENSP00000393139	Tchem	protein kinase	other group	CDC7 family		Cdc7	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Nucleoplasm| Cytokinetic bridge| Mitotic spindle
CDK1	CDK1_HUMAN	P06493	Cyclin-dependent kinase 1	983	ENSP00000378699	Tchem	protein kinase	CMGC group	CDK family	CDK1 subfamily	Cdk1	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol| Nucleus
CDK10	CDK10_HUMAN	Q15131	Cyclin-dependent kinase 10	8558	ENSP00000338673	Tbio	protein kinase	CMGC group	CDK family	CDK10 subfamily	Cdk10	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Midbody| Midbody ring
CDK11A	CD11A_HUMAN	Q9UQ88	Cyclin-dependent kinase 11A	728642	ENSP00000384442	Tchem	protein kinase	CMGC group	CDK family	PITSLRE subfamily					Nuclear speckles| Cytosol
CDK11B	CD11B_HUMAN	P21127	Cyclin-dependent kinase 11B	984	ENSP00000464036	Tchem	protein kinase	CMGC group	CDK family	PITSLRE subfamily	Cdk11b	HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	9	good	Nucleus
CDK12	CDK12_HUMAN	Q9NYV4	Cyclin-dependent kinase 12	51755	ENSP00000398880	Tchem	protein kinase	CMGC group	CDK family		Cdk12	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus
CDK13	CDK13_HUMAN	Q14004	Cyclin-dependent kinase 13	8621	ENSP00000181839	Tchem	protein kinase	CMGC group	CDK family	CRK7 subfamily	Cdk13	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nuclear speckles
CDK14	CDK14_HUMAN	O94921	Cyclin-dependent kinase 14	5218	ENSP00000369390	Tchem	protein kinase	CMGC group	CDK family	TAIRE subfamily	Cdk14	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	10	good	Nucleus| Cytosol
CDK15	CDK15_HUMAN	Q96Q40	Cyclin-dependent kinase 15	65061	ENSP00000406472	Tchem	protein kinase	CMGC group	CDK family	TAIRE subfamily	Cdk15	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus| Golgi apparatus
CDK16	CDK16_HUMAN	Q00536	Cyclin-dependent kinase 16	5127	ENSP00000276052	Tchem	protein kinase	CMGC group	CDK family	TAIRE subfamily	Cdk16	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Microtubules| Cytosol| Plasma membrane
CDK17	CDK17_HUMAN	Q00537	Cyclin-dependent kinase 17	5128	ENSP00000261211	Tchem	protein kinase	CMGC group	CDK family	TAIRE subfamily	Cdk17	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Cytosol
CDK18	CDK18_HUMAN	Q07002	Cyclin-dependent kinase 18	5129	ENSP00000423665	Tchem	protein kinase	CMGC group	CDK family	TAIRE subfamily	Cdk18	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	actin filamentss
CDK19	CDK19_HUMAN	Q9BWU1	Cyclin-dependent kinase 19	23097	ENSP00000357907	Tchem	protein kinase	CMGC group	CDK family	CDK8 subfamily	Cdk19	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Vesicles
CDK2	CDK2_HUMAN	P24941	Cyclin-dependent kinase 2	1017	ENSP00000266970	Tchem	protein kinase	CMGC group	CDK family	CDK1 subfamily	Cdk2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Centrosome| Cytosol
CDK20	CDK20_HUMAN	Q8IZL9	Cyclin-dependent kinase 20	23552	ENSP00000322343	Tbio	protein kinase	CMGC group	CDK family	CCRK subfamily	Cdk20	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm
CDK3	CDK3_HUMAN	Q00526	Cyclin-dependent kinase 3	1018	ENSP00000410561	Tchem	protein kinase	CMGC group	CDK family	CDK1 subfamily					Cytosol
CDK4	CDK4_HUMAN	P11802	Cyclin-dependent kinase 4	1019	ENSP00000257904	Tclin	protein kinase	CMGC group	CDK family	CDK4 subfamily	Cdk4	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol| Nucleus| Nuclear membrane| Nucleoli
CDK5	CDK5_HUMAN	Q00535	Cyclin-dependent-like kinase 5	1020	ENSP00000419782	Tchem	protein kinase	CMGC group	CDK family	CDK5 subfamily	Cdk5	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus| Plasma membrane| Cell Junctions| Cytosol
CDK6	CDK6_HUMAN	Q00534	Cyclin-dependent kinase 6	1021	ENSP00000265734	Tclin	protein kinase	CMGC group	CDK family	CDK4 subfamily	Cdk6	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Cytosol
CDK7	CDK7_HUMAN	P50613	Cyclin-dependent kinase 7	1022	ENSP00000256443	Tchem	protein kinase	CMGC group	CDK family	CDK7 subfamily	Cdk7	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Nucleus
CDK8	CDK8_HUMAN	P49336	Cyclin-dependent kinase 8	1024	ENSP00000370938	Tchem	protein kinase	CMGC group	CDK family	CDK8 subfamily	Cdk8	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus
CDK9	CDK9_HUMAN	P50750	Cyclin-dependent kinase 9	1025	ENSP00000362361	Tchem	protein kinase	CMGC group	CDK family	CDK9 subfamily	Cdk9	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Cytoplasmic bodies
CDKL1	CDKL1_HUMAN	Q00532	Cyclin-dependent kinase-like 1	8814	ENSP00000379176	Tchem	protein kinase	CMGC group	CDKL family		Cdkl1	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Vesicles
CDKL2	CDKL2_HUMAN	Q92772	Cyclin-dependent kinase-like 2	8999	ENSP00000412365	Tchem	protein kinase	CMGC group	CDKL family		Cdkl2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus| Centrosome
CDKL3	CDKL3_HUMAN	Q8IVW4	Cyclin-dependent kinase-like 3	51265	ENSP00000265334	Tchem	protein kinase	CMGC group	CDKL family		Cdkl3	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	10	good	Nucleoplasm| Vesicles
